 2024-02-14 23:16:55,732 - Key.shift
 2024-02-14 23:16:55,903 - 'M'
 2024-02-14 23:16:56,289 - 'o'
 2024-02-14 23:16:56,609 - 'h'
 2024-02-14 23:16:56,767 - 'a'
 2024-02-14 23:16:56,983 - 'm'
 2024-02-14 23:16:57,103 - 'm'
 2024-02-14 23:16:57,266 - 'e'
 2024-02-14 23:16:57,564 - 'd'
 2024-02-14 23:16:58,843 - Key.space
 2024-02-14 23:16:59,181 - Key.shift
 2024-02-14 23:16:59,516 - 'v'
 2024-02-14 23:16:59,661 - 'a'
 2024-02-14 23:16:59,829 - 'r'
 2024-02-14 23:16:59,953 - 'a'
 2024-02-14 23:17:00,304 - 'l'
 2024-02-14 23:17:00,520 - 'i'
 2024-02-14 23:17:00,729 - 'y'
 2024-02-14 23:17:00,835 - 'a'
 2024-02-14 23:17:01,592 - Key.space
 2024-02-14 23:17:01,941 - Key.shift
 2024-02-14 23:17:02,107 - 'T'
 2024-02-14 23:17:02,810 - Key.shift
 2024-02-14 23:17:04,304 - 'Y'
 2024-02-14 23:17:04,892 - 'C'
 2024-02-14 23:17:05,008 - 'S'
 2024-02-14 23:17:10,883 - Key.space
 2024-02-14 23:17:11,158 - Key.shift
 2024-02-14 23:17:11,405 - 'T'
 2024-02-14 23:17:12,508 - '1'
 2024-02-14 23:17:12,880 - '0'
 2024-02-14 23:17:13,395 - '9'
 2024-02-14 23:17:14,504 - Key.enter
 2024-02-14 23:17:23,540 - Key.ctrl_l
 2024-02-14 23:17:24,031 - '\x03'
